reporter_id,map_status,fill_mode,click_mode,feature_name_candidates,notes
EU,special_aggregate,none,none,"Austria|Belgium|Bulgaria|Croatia|Cyprus|Czechia|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Ireland|Italy|Latvia|Lithuania|Luxembourg|Malta|Netherlands|Poland|Portugal|Romania|Slovakia|Slovenia|Spain|Sweden","Aggregate reporter rendered as EU-member outline only."
USA,mapped,fill,select,"United States of America","Use atlas feature name, not WTO short name."
COD,mapped,fill,select,"Democratic Republic of the Congo","WTO canonical and atlas labels differ."
COG,mapped,fill,select,"Republic of the Congo","WTO canonical and atlas labels differ."
BOL,mapped,fill,select,"Bolivia","Short atlas label."
IRN,mapped,fill,select,"Iran","Short atlas label."
LAO,mapped,fill,select,"Laos","Short atlas label."
MDA,mapped,fill,select,"Moldova","Short atlas label."
TZA,mapped,fill,select,"Tanzania","Short atlas label."
VNM,mapped,fill,select,"Vietnam","Short atlas label."
BRN,mapped,fill,select,"Brunei","Short atlas label."
CPV,mapped,fill,select,"Cabo Verde|Cape Verde","Atlas label varies by dataset."
SWZ,mapped,fill,select,"Eswatini|eSwatini|Swaziland","Atlas label varies by dataset."
MKD,mapped,fill,select,"North Macedonia|Macedonia","Atlas label varies by dataset."
SYR,mapped,fill,select,"Syria","Short atlas label."
VEN,mapped,fill,select,"Venezuela","Short atlas label."
PRK,mapped,fill,select,"North Korea","Short atlas label."
TWN,mapped,fill,select,"Taiwan","Short atlas label."
MAC,mapped,fill,select,"Macao|Macau","Atlas label varies by dataset."
HKG,mapped,fill,select,"Hong Kong|Hong Kong SAR","Atlas label varies by dataset."
