logical_dataset,batch_id,provider,enabled_flag,request_url,output_filename,auth_location,auth_name,subscription_env_var,timeout_seconds,notes
mfn_simple_average_all_products,ZAF_2026,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2026,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2026
mfn_simple_average_all_products,ZAF_2025,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2025,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2025
mfn_simple_average_all_products,ZAF_2024,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2024,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2024
mfn_simple_average_all_products,ZAF_2023,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2023,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2023
mfn_simple_average_all_products,ZAF_2022,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2022,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2022
mfn_simple_average_all_products,ZAF_2021,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2021,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2021
mfn_simple_average_all_products,ZAF_2020,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2020,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2020
mfn_simple_average_all_products,ZAF_2019,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2019,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2019
mfn_simple_average_all_products,ZAF_2018,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2018,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2018
mfn_simple_average_all_products,ZAF_2017,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2017,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2017
mfn_simple_average_all_products,ZAF_2016,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2016,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2016
mfn_simple_average_all_products,ZAF_2015,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2015,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2015
mfn_simple_average_all_products,ZAF_2014,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2014,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2014
mfn_simple_average_all_products,ZAF_2013,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2013,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2013
mfn_simple_average_all_products,ZAF_2012,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2012,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2012
mfn_simple_average_all_products,ZAF_2011,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2011,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2011
mfn_simple_average_all_products,ZAF_2010,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2010,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2010
mfn_simple_average_all_products,ZAF_2009,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2009,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2009
mfn_simple_average_all_products,ZAF_2008,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2008,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2008
mfn_simple_average_all_products,ZAF_2007,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2007,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2007
mfn_simple_average_all_products,ZAF_2006,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2006,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2006
mfn_simple_average_all_products,ZAF_2005,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2005,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2005
mfn_simple_average_all_products,ZAF_2004,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2004,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2004
mfn_simple_average_all_products,ZAF_2003,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2003,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2003
mfn_simple_average_all_products,ZAF_2002,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2002,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2002
