actor_id,wto_partner_code,canonical_name
ABW,533,Aruba
AFG,4,Afghanistan
AGO,24,Angola
AIA,660,Anguilla
ALA,248,Åland Islands
ALB,8,Albania
AND,20,Andorra
ARE,784,United Arab Emirates
ARG,32,Argentina
ARM,51,Armenia
ASM,16,American Samoa
ATA,10,Antarctica
ATF,260,French Southern Territories
ATG,28,Antigua and Barbuda
AUS,36,Australia
AUT,40,Austria
AZE,31,Azerbaijan
BDI,108,Burundi
BEL,56,Belgium
BEN,204,Benin
BES,535,"Bonaire, Sint Eustatius and Saba"
BFA,854,Burkina Faso
BGD,50,Bangladesh
BGR,100,Bulgaria
BHR,48,Bahrain
BHS,44,Bahamas
BIH,70,Bosnia and Herzegovina
BLM,652,Saint Barthélemy
BLR,112,Belarus
BLZ,84,Belize
BMU,60,Bermuda
BOL,68,"Bolivia, Plurinational State of"
BRA,76,Brazil
BRB,52,Barbados
BRN,96,Brunei Darussalam
BTN,64,Bhutan
BVT,74,Bouvet Island
BWA,72,Botswana
CAF,140,Central African Republic
CAN,124,Canada
CCK,166,Cocos (Keeling) Islands
CHE,756,Switzerland
CHL,152,Chile
CHN,156,China
CIV,384,Côte d'Ivoire
CMR,120,Cameroon
COD,180,"Congo, The Democratic Republic of the"
COG,178,Congo
COK,184,Cook Islands
COL,170,Colombia
COM,174,Comoros
CPV,132,Cabo Verde
CRI,188,Costa Rica
CUB,192,Cuba
CUW,531,Curaçao
CXR,162,Christmas Island
CYM,136,Cayman Islands
CYP,196,Cyprus
CZE,203,Czechia
DEU,276,Germany
DJI,262,Djibouti
DMA,212,Dominica
DNK,208,Denmark
DOM,214,Dominican Republic
DZA,12,Algeria
ECU,218,Ecuador
EGY,818,Egypt
ERI,232,Eritrea
ESH,732,Western Sahara
ESP,724,Spain
EST,233,Estonia
ETH,231,Ethiopia
EU,918,European Union
FIN,246,Finland
FJI,242,Fiji
FLK,238,Falkland Islands (Malvinas)
FRA,250,France
FRO,234,Faroe Islands
FSM,583,"Micronesia, Federated States of"
GAB,266,Gabon
GBR,826,United Kingdom
GEO,268,Georgia
GGY,831,Guernsey
GHA,288,Ghana
GIB,292,Gibraltar
GIN,324,Guinea
GLP,312,Guadeloupe
GMB,270,Gambia
GNB,624,Guinea-Bissau
GNQ,226,Equatorial Guinea
GRC,300,Greece
GRD,308,Grenada
GRL,304,Greenland
GTM,320,Guatemala
GUF,254,French Guiana
GUM,316,Guam
GUY,328,Guyana
HKG,344,Hong Kong
HMD,334,Heard Island and McDonald Islands
HND,340,Honduras
HRV,191,Croatia
HTI,332,Haiti
HUN,348,Hungary
IDN,360,Indonesia
IMN,833,Isle of Man
IND,356,India
IOT,86,British Indian Ocean Territory
IRL,372,Ireland
IRN,364,"Iran, Islamic Republic of"
IRQ,368,Iraq
ISL,352,Iceland
ISR,376,Israel
ITA,380,Italy
JAM,388,Jamaica
JEY,832,Jersey
JOR,400,Jordan
JPN,392,Japan
KAZ,398,Kazakhstan
KEN,404,Kenya
KGZ,417,Kyrgyzstan
KHM,116,Cambodia
KIR,296,Kiribati
KNA,659,Saint Kitts and Nevis
KOR,410,South Korea
KWT,414,Kuwait
