series_id,date,level,case_id,case_name,status,candidate_rank,series_label,source_type,role,event_date,base_date,window_start,window_end,policy_date_type,tariff_authority,notes,event_month,base_month,relative_month,rebased_100,gap_from_base_index_points,mom_pct,yoy_pct
CUUR0000SEHL,2017-01-31,56.577,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-13,108.19850831899025,8.19850831899025,,
CUUR0000SEHL,2017-02-28,56.637,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-12,108.3132530120482,8.313253012048193,0.10605016172648973,
CUUR0000SEHL,2017-03-31,56.416,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-11,107.89061005928475,7.890610059284754,-0.3902042834189712,
CUUR0000SEHL,2017-04-30,55.274,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-10,105.70663606808186,5.706636068081863,-2.0242484401588157,
CUUR0000SEHL,2017-05-31,55.195,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-9,105.55555555555556,5.555555555555557,-0.14292434055794834,
CUUR0000SEHL,2017-06-30,55.457,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-8,106.05660738190859,6.0566073819085915,0.47468067759761645,
CUUR0000SEHL,2017-07-31,53.937,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-7,103.14974182444061,3.1497418244406106,-2.7408622897019397,
CUUR0000SEHL,2017-08-31,53.063,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-6,101.47829412889655,1.4782941288965503,-1.6204089956801337,
CUUR0000SEHL,2017-09-30,52.436,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-5,100.27921208644099,0.2792120864409924,-1.1816143075212504,
CUUR0000SEHL,2017-10-31,52.369,2018_washer_safeguard,2018 Washer Safeguard,benchmark,,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control,2018-02-28,2018-01-31,-4,100.1510805125263,0.15108051252630617,-0.12777481119841116,
