case_name,series_id,series_label,source_type,base_month,event_month,horizon_months,target_month,index_change_from_base,pct_change_from_base,index_change_from_event,pct_change_from_event
2009 China Tire Safeguard,WPU07120104,Passenger car pneumatic tires,UPSTREAM,2009-08-31,2009-09-30,3,2009-12-31,4.274134119381003,4.274134119381001,4.274134119381003,4.274134119381001
2009 China Tire Safeguard,WPU07120104,Passenger car pneumatic tires,UPSTREAM,2009-08-31,2009-09-30,6,2010-03-31,2.8739867354458397,2.8739867354458326,2.8739867354458397,2.8739867354458326
2009 China Tire Safeguard,WPU07120104,Passenger car pneumatic tires,UPSTREAM,2009-08-31,2009-09-30,12,2010-09-30,9.211495946941795,9.211495946941795,9.211495946941795,9.211495946941795
2009 China Tire Safeguard,WPU07130617,Rubber products for mechanical use,UPSTREAM,2009-08-31,2009-09-30,3,2009-12-31,0.0,0.0,0.08976660682226623,0.08984725965859308
2009 China Tire Safeguard,WPU07130617,Rubber products for mechanical use,UPSTREAM,2009-08-31,2009-09-30,6,2010-03-31,0.9874326750448859,0.9874326750448859,1.077199281867152,1.0781671159029615
2009 China Tire Safeguard,WPU07130617,Rubber products for mechanical use,UPSTREAM,2009-08-31,2009-09-30,12,2010-09-30,0.9874326750448859,0.9874326750448859,1.077199281867152,1.0781671159029615
2018 Aluminum Section 232,WPU102501,Aluminum mill shapes,UPSTREAM,2018-01-31,2018-03-31,3,2018-06-30,13.492063492063494,13.492063492063489,8.835978835978821,8.442871587462065
2018 Aluminum Section 232,WPU102501,Aluminum mill shapes,UPSTREAM,2018-01-31,2018-03-31,6,2018-09-30,8.148148148148152,8.148148148148149,3.4920634920634797,3.336703741152669
2018 Aluminum Section 232,WPU102501,Aluminum mill shapes,UPSTREAM,2018-01-31,2018-03-31,12,2019-03-31,6.560846560846571,6.560846560846567,1.904761904761898,1.8200202224469164
2018 Aluminum Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,3,2018-06-30,-0.20590253946465964,-0.20590253946466408,2.264927934111185,2.3223082336382816
2018 Aluminum Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,6,2018-09-30,-12.422786547700753,-12.422786547700749,-9.951956074124908,-10.20408163265305
2018 Aluminum Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,12,2019-03-31,-6.909174102036147,-6.9091741020361415,-4.438343628460302,-4.550785831574
2018 Steel Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,3,2018-06-30,-0.20590253946465964,-0.20590253946466408,2.264927934111185,2.3223082336382816
2018 Steel Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,6,2018-09-30,-12.422786547700753,-12.422786547700749,-9.951956074124908,-10.20408163265305
2018 Steel Section 232,WPU102502,Copper and brass mill shapes,UPSTREAM,2018-01-31,2018-03-31,12,2019-03-31,-6.909174102036147,-6.9091741020361415,-4.438343628460302,-4.550785831574
2018 Steel Section 232,WPU1017,Steel mill products,UPSTREAM,2018-01-31,2018-03-31,3,2018-06-30,14.262820512820525,14.262820512820529,9.775641025641036,9.355828220858896
2018 Steel Section 232,WPU1017,Steel mill products,UPSTREAM,2018-01-31,2018-03-31,6,2018-09-30,20.352564102564116,20.35256410256412,15.865384615384627,15.184049079754613
2018 Steel Section 232,WPU1017,Steel mill products,UPSTREAM,2018-01-31,2018-03-31,12,2019-03-31,15.170940170940185,15.170940170940185,10.683760683760696,10.224948875255624
2018 Washer Safeguard,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,3,2018-05-31,10.454425188517007,10.454425188517003,15.526745160294581,16.356393789122837
2018 Washer Safeguard,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,6,2018-08-31,9.571371874586589,9.571371874586587,14.643691846364163,15.426155829375077
2018 Washer Safeguard,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,12,2019-02-28,3.342593817524346,3.342593817524353,8.41491378930192,8.864552243139334
2018 Washer Safeguard,CUUR0000SEHL,Other household equipment and furnishings,CPI,2018-01-31,2018-02-28,3,2018-05-31,-0.44367947982405553,-0.4436794798240551,-1.4266590170204694,-1.4127717597151812
2018 Washer Safeguard,CUUR0000SEHL,Other household equipment and furnishings,CPI,2018-01-31,2018-02-28,6,2018-08-31,-3.7005163511187646,-3.7005163511187655,-4.6834958883151785,-4.63790621922583
2018 Washer Safeguard,CUUR0000SEHL,Other household equipment and furnishings,CPI,2018-01-31,2018-02-28,12,2019-02-28,-0.8739720787913541,-0.8739720787913519,-1.856951615987768,-1.838875842739196
2018 Washer Safeguard,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,3,2018-05-31,1.668302257114803,1.6683022571148065,1.2757605495583704,1.2707722385141507
2018 Washer Safeguard,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,6,2018-08-31,2.7477919528949855,2.7477919528949846,2.355250245338553,2.346041055718451
2018 Washer Safeguard,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,12,2019-02-28,5.691854759568187,5.691854759568193,5.299313052011755,5.278592375366542
2018 Washer Safeguard Robustness,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,3,2018-05-31,10.454425188517007,10.454425188517003,15.526745160294581,16.356393789122837
2018 Washer Safeguard Robustness,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,6,2018-08-31,9.571371874586589,9.571371874586587,14.643691846364163,15.426155829375077
2018 Washer Safeguard Robustness,CUUR0000SS30021,Laundry equipment,CPI,2018-01-31,2018-02-28,12,2019-02-28,3.342593817524346,3.342593817524353,8.41491378930192,8.864552243139334
2018 Washer Safeguard Robustness,CUUR0000SEHH,Window and floor coverings and other linens,CPI,2018-01-31,2018-02-28,3,2018-05-31,-2.3091910207539144,-2.309191020753909,-2.741211351122402,-2.729419703103908
2018 Washer Safeguard Robustness,CUUR0000SEHH,Window and floor coverings and other linens,CPI,2018-01-31,2018-02-28,6,2018-08-31,-3.9356204997882287,-3.9356204997882283,-4.3676408301567164,-4.348852901484479
2018 Washer Safeguard Robustness,CUUR0000SEHH,Window and floor coverings and other linens,CPI,2018-01-31,2018-02-28,12,2019-02-28,-3.1139347734011125,-3.113934773401117,-3.5459551037696,-3.5307017543859787
2018 Washer Safeguard Robustness,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,3,2018-05-31,1.668302257114803,1.6683022571148065,1.2757605495583704,1.2707722385141507
2018 Washer Safeguard Robustness,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,6,2018-08-31,2.7477919528949855,2.7477919528949846,2.355250245338553,2.346041055718451
2018 Washer Safeguard Robustness,PCU335220335220,Major household appliance manufacturing,PPI,2018-01-31,2018-02-28,12,2019-02-28,5.691854759568187,5.691854759568193,5.299313052011755,5.278592375366542
2025 Semiconductors Case,PCU334413334413,Semiconductor and related device manufacturing,UPSTREAM,2024-12-31,2025-01-31,3,2025-04-30,-1.0667190209744462,-1.0667190209744493,0.3828408756258028,0.3884720100936434
2025 Semiconductors Case,PCU334413334413,Semiconductor and related device manufacturing,UPSTREAM,2024-12-31,2025-01-31,6,2025-07-31,-2.4966460521579847,-2.4966460521579803,-1.0470861555577358,-1.0624875489740337
2025 Semiconductors Case,PCU334413334413,Semiconductor and related device manufacturing,UPSTREAM,2024-12-31,2025-01-31,12,2026-01-31,-3.275416380354045,-3.275416380354046,-1.825856483753796,-1.8527126635234703
2025 Semiconductors Case,EIUIR21320,Semiconductors import price index,UPSTREAM,2024-12-31,2025-01-31,3,2025-04-30,6.143344709897619,6.1433447098976135,6.48464163822527,6.506849315068508
2025 Semiconductors Case,EIUIR21320,Semiconductors import price index,UPSTREAM,2024-12-31,2025-01-31,6,2025-07-31,6.143344709897619,6.1433447098976135,6.48464163822527,6.506849315068508
2025 Semiconductors Case,EIUIR21320,Semiconductors import price index,UPSTREAM,2024-12-31,2025-01-31,12,2026-01-31,6.313993174061423,6.3139931740614275,6.655290102389074,6.67808219178081
2025 Steel Section 232 Raise to 50%,WPU102502,Copper and brass mill shapes,UPSTREAM,2025-05-31,2025-06-30,3,2025-09-30,1.9801650269755555,1.9801650269755555,0.836401142494438,0.8269428686178859
2025 Steel Section 232 Raise to 50%,WPU102502,Copper and brass mill shapes,UPSTREAM,2025-05-31,2025-06-30,6,2025-12-31,13.06966042526183,13.06966042526183,11.925896540780712,11.791034941513146
2025 Steel Section 232 Raise to 50%,WPU1017,Steel mill products,UPSTREAM,2025-05-31,2025-06-30,3,2025-09-30,-6.7833128789293085,-6.783312878929304,-1.4237489402986512,-1.5043769867833512
2025 Steel Section 232 Raise to 50%,WPU1017,Steel mill products,UPSTREAM,2025-05-31,2025-06-30,6,2025-12-31,-4.386934073568526,-4.386934073568527,0.9726298650621317,1.0277106758378007
