year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes,reporter_mfn_weighted_applied_tariff_pct,reporter_mfn_simple_avg_effectively_applied_pct,bilateral_preferential_tariff_pct,bilateral_simple_avg_tariff_pct,tariff_basis,preference_source_label,preference_source_url,preference_notes
2021,ARG__AUS,Argentina imports from Australia,ARG,ARG,Argentina,AUS,AUS,Australia,408839282.18,408.83928218,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__BRA,Argentina imports from Brazil,ARG,ARG,Argentina,BRA,BRA,Brazil,12442342476.76,12442.34247676,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__CAN,Argentina imports from Canada,ARG,ARG,Argentina,CAN,CAN,Canada,423990688.47,423.99068847,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__CHN,Argentina imports from China,ARG,ARG,Argentina,CHN,CHN,China,13525039277.86,13525.03927786,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__GBR,Argentina imports from United Kingdom,ARG,ARG,Argentina,GBR,GBR,United Kingdom,540603693.719999,540.603693719999,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__IDN,Argentina imports from Indonesia,ARG,ARG,Argentina,IDN,IDN,Indonesia,378529171.42,378.52917142,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__IND,Argentina imports from India,ARG,ARG,Argentina,IND,IND,India,1393779188.69,1393.77918869,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__JPN,Argentina imports from Japan,ARG,ARG,Argentina,JPN,JPN,Japan,1140317658.63,1140.31765863,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__KOR,Argentina imports from South Korea,ARG,ARG,Argentina,KOR,KOR,South Korea,648251407.040001,648.251407040001,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
2021,ARG__MEX,Argentina imports from Mexico,ARG,ARG,Argentina,MEX,MEX,Mexico,1403147179.64,1403.14717964,11.900,13.400,0,0.0,0.0,52.4,52.400,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,11.900,13.400,,,reporter_mfn_fallback,,,
