year,reporter_id,reporter_name_wto,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average_mfn_pct,trade_weighted_mfn_pct,duty_free_share_ratio
2021,ARG,Argentina,,,MFN,MFN applied,TOTAL,All products,13.4,11.9,
2021,AUS,Australia,,,MFN,MFN applied,TOTAL,All products,2.4,2.6,
2021,BRA,Brazil,,,MFN,MFN applied,TOTAL,All products,13.3,10.0,
2021,CAN,Canada,,,MFN,MFN applied,TOTAL,All products,4.0,3.3,
2021,CHN,China,,,MFN,MFN applied,TOTAL,All products,7.5,3.2,
2021,IND,India,,,MFN,MFN applied,TOTAL,All products,18.3,12.6,
2021,IDN,Indonesia,,,MFN,MFN applied,TOTAL,All products,8.1,5.6,
2021,JPN,Japan,,,MFN,MFN applied,TOTAL,All products,4.2,2.4,
2021,KOR,"Korea, Republic of",,,MFN,MFN applied,TOTAL,All products,13.6,8.9,
2021,MEX,Mexico,,,MFN,MFN applied,TOTAL,All products,7.1,4.1,
2021,RUS,Russian Federation,,,MFN,MFN applied,TOTAL,All products,6.6,5.3,
2021,SAU,"Saudi Arabia, Kingdom of",,,MFN,MFN applied,TOTAL,All products,6.3,5.4,
2021,ZAF,South Africa,,,MFN,MFN applied,TOTAL,All products,7.8,6.3,
2021,TUR,T³rkiye,,,MFN,MFN applied,TOTAL,All products,10.7,4.6,
2021,GBR,United Kingdom,,,MFN,MFN applied,TOTAL,All products,3.9,4.1,
2021,USA,United States of America,,,MFN,MFN applied,TOTAL,All products,3.4,2.3,
