pair_id,pair_label,pair_scope,reporter_id,reporter_iso3,reporter_name,reporter_type,partner_id,partner_iso3,partner_name,partner_type,score_status
AFG__AGO,Afghanistan imports from Angola,goods,AFG,AFG,Afghanistan,country,AGO,AGO,Angola,country,unbuilt
AFG__ALB,Afghanistan imports from Albania,goods,AFG,AFG,Afghanistan,country,ALB,ALB,Albania,country,unbuilt
AFG__AND,Afghanistan imports from Andorra,goods,AFG,AFG,Afghanistan,country,AND,AND,Andorra,country,unbuilt
AFG__ARE,Afghanistan imports from United Arab Emirates,goods,AFG,AFG,Afghanistan,country,ARE,ARE,United Arab Emirates,country,unbuilt
AFG__ARG,Afghanistan imports from Argentina,goods,AFG,AFG,Afghanistan,country,ARG,ARG,Argentina,country,unbuilt
AFG__ARM,Afghanistan imports from Armenia,goods,AFG,AFG,Afghanistan,country,ARM,ARM,Armenia,country,unbuilt
AFG__ATG,Afghanistan imports from Antigua and Barbuda,goods,AFG,AFG,Afghanistan,country,ATG,ATG,Antigua and Barbuda,country,unbuilt
AFG__AUS,Afghanistan imports from Australia,goods,AFG,AFG,Afghanistan,country,AUS,AUS,Australia,country,unbuilt
AFG__AZE,Afghanistan imports from Azerbaijan,goods,AFG,AFG,Afghanistan,country,AZE,AZE,Azerbaijan,country,unbuilt
AFG__BDI,Afghanistan imports from Burundi,goods,AFG,AFG,Afghanistan,country,BDI,BDI,Burundi,country,unbuilt
AFG__BEN,Afghanistan imports from Benin,goods,AFG,AFG,Afghanistan,country,BEN,BEN,Benin,country,unbuilt
AFG__BFA,Afghanistan imports from Burkina Faso,goods,AFG,AFG,Afghanistan,country,BFA,BFA,Burkina Faso,country,unbuilt
AFG__BGD,Afghanistan imports from Bangladesh,goods,AFG,AFG,Afghanistan,country,BGD,BGD,Bangladesh,country,unbuilt
AFG__BHR,Afghanistan imports from Bahrain,goods,AFG,AFG,Afghanistan,country,BHR,BHR,Bahrain,country,unbuilt
AFG__BHS,Afghanistan imports from Bahamas,goods,AFG,AFG,Afghanistan,country,BHS,BHS,Bahamas,country,unbuilt
AFG__BIH,Afghanistan imports from Bosnia and Herzegovina,goods,AFG,AFG,Afghanistan,country,BIH,BIH,Bosnia and Herzegovina,country,unbuilt
AFG__BLR,Afghanistan imports from Belarus,goods,AFG,AFG,Afghanistan,country,BLR,BLR,Belarus,country,unbuilt
AFG__BLZ,Afghanistan imports from Belize,goods,AFG,AFG,Afghanistan,country,BLZ,BLZ,Belize,country,unbuilt
AFG__BMU,Afghanistan imports from Bermuda,goods,AFG,AFG,Afghanistan,country,BMU,BMU,Bermuda,country,unbuilt
AFG__BOL,"Afghanistan imports from Bolivia, Plurinational State of",goods,AFG,AFG,Afghanistan,country,BOL,BOL,"Bolivia, Plurinational State of",country,unbuilt
AFG__BRA,Afghanistan imports from Brazil,goods,AFG,AFG,Afghanistan,country,BRA,BRA,Brazil,country,unbuilt
AFG__BRB,Afghanistan imports from Barbados,goods,AFG,AFG,Afghanistan,country,BRB,BRB,Barbados,country,unbuilt
AFG__BRN,Afghanistan imports from Brunei Darussalam,goods,AFG,AFG,Afghanistan,country,BRN,BRN,Brunei Darussalam,country,unbuilt
AFG__BTN,Afghanistan imports from Bhutan,goods,AFG,AFG,Afghanistan,country,BTN,BTN,Bhutan,country,unbuilt
AFG__BWA,Afghanistan imports from Botswana,goods,AFG,AFG,Afghanistan,country,BWA,BWA,Botswana,country,unbuilt
AFG__CAF,Afghanistan imports from Central African Republic,goods,AFG,AFG,Afghanistan,country,CAF,CAF,Central African Republic,country,unbuilt
AFG__CAN,Afghanistan imports from Canada,goods,AFG,AFG,Afghanistan,country,CAN,CAN,Canada,country,unbuilt
AFG__CHE,Afghanistan imports from Switzerland,goods,AFG,AFG,Afghanistan,country,CHE,CHE,Switzerland,country,unbuilt
AFG__CHL,Afghanistan imports from Chile,goods,AFG,AFG,Afghanistan,country,CHL,CHL,Chile,country,unbuilt
AFG__CHN,Afghanistan imports from China,goods,AFG,AFG,Afghanistan,country,CHN,CHN,China,country,unbuilt
AFG__CIV,Afghanistan imports from Côte d'Ivoire,goods,AFG,AFG,Afghanistan,country,CIV,CIV,Côte d'Ivoire,country,unbuilt
AFG__CMR,Afghanistan imports from Cameroon,goods,AFG,AFG,Afghanistan,country,CMR,CMR,Cameroon,country,unbuilt
AFG__COD,"Afghanistan imports from Congo, The Democratic Republic of the",goods,AFG,AFG,Afghanistan,country,COD,COD,"Congo, The Democratic Republic of the",country,unbuilt
AFG__COG,Afghanistan imports from Congo,goods,AFG,AFG,Afghanistan,country,COG,COG,Congo,country,unbuilt
AFG__COL,Afghanistan imports from Colombia,goods,AFG,AFG,Afghanistan,country,COL,COL,Colombia,country,unbuilt
AFG__COM,Afghanistan imports from Comoros,goods,AFG,AFG,Afghanistan,country,COM,COM,Comoros,country,unbuilt
AFG__CPV,Afghanistan imports from Cabo Verde,goods,AFG,AFG,Afghanistan,country,CPV,CPV,Cabo Verde,country,unbuilt
AFG__CRI,Afghanistan imports from Costa Rica,goods,AFG,AFG,Afghanistan,country,CRI,CRI,Costa Rica,country,unbuilt
AFG__CUB,Afghanistan imports from Cuba,goods,AFG,AFG,Afghanistan,country,CUB,CUB,Cuba,country,unbuilt
AFG__CUW,Afghanistan imports from Curaçao,goods,AFG,AFG,Afghanistan,country,CUW,CUW,Curaçao,country,unbuilt
