year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes
2023,AUS__CAN,Australia imports from Canada,AUS,AUS,Australia,CAN,CAN,Canada,2631815493.50286,2631.81549350286,2.5,2.4,1,0.0,0.0,90.0,90.0,yes,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,substantially_all_goods,2018-12-30,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__CHN,Australia imports from China,AUS,AUS,Australia,CHN,CHN,China,69644282846.8102,69644.2828468102,2.5,2.4,0,0.0,0.0,90.0,90.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__GBR,Australia imports from United Kingdom,AUS,AUS,Australia,GBR,GBR,United Kingdom,5325903590.113,5325.903590113,2.5,2.4,0,0.0,0.0,90.0,90.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__JPN,Australia imports from Japan,AUS,AUS,Australia,JPN,JPN,Japan,17360438604.4055,17360.4386044055,2.5,2.4,0,0.0,0.0,90.0,90.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__KOR,Australia imports from South Korea,AUS,AUS,Australia,KOR,KOR,South Korea,18043937526.622,18043.937526622,2.5,2.4,0,0.0,0.0,90.0,90.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__MEX,Australia imports from Mexico,AUS,AUS,Australia,MEX,MEX,Mexico,2812755568.6718,2812.7555686718,2.5,2.4,0,0.0,0.0,90.0,90.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,AUS__USA,Australia imports from United States,AUS,AUS,Australia,USA,USA,United States,30813971848.9026,30813.971848902598,2.5,2.4,1,2.0,0.0,90.0,88.0,yes,AUSFTA,Australia-United States Free Trade Agreement,substantially_all_goods,2005-01-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | FTA reverse-direction pair.
2023,CAN__AUS,Canada imports from Australia,CAN,CAN,Canada,AUS,AUS,Australia,2375322531.6737,2375.3225316737,3.4,3.8,1,2.0,0.0,86.4,84.4,yes,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,substantially_all_goods,2018-12-30,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | CPTPP pair with light residual friction.
2023,CAN__CHN,Canada imports from China,CAN,CAN,Canada,CHN,CHN,China,63598500938.7271,63598.5009387271,3.4,3.8,0,0.0,0.0,86.4,86.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CAN__GBR,Canada imports from United Kingdom,CAN,CAN,Canada,GBR,GBR,United Kingdom,5946199929.614,5946.199929614,3.4,3.8,0,0.0,0.0,86.4,86.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CAN__JPN,Canada imports from Japan,CAN,CAN,Canada,JPN,JPN,Japan,12857887509.817,12857.887509817,3.4,3.8,0,0.0,0.0,86.4,86.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
