year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes,reporter_mfn_weighted_applied_tariff_pct,reporter_mfn_simple_avg_effectively_applied_pct,bilateral_preferential_tariff_pct,bilateral_simple_avg_tariff_pct,tariff_basis,preference_source_label,preference_source_url,preference_notes
2023,ARG__AUS,Argentina imports from Australia,ARG,ARG,Argentina,AUS,AUS,Australia,359987182.29,359.98718229,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__BRA,Argentina imports from Brazil,ARG,ARG,Argentina,BRA,BRA,Brazil,17348515544.49,17348.51554449,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__CAN,Argentina imports from Canada,ARG,ARG,Argentina,CAN,CAN,Canada,409384415.089999,409.38441508999904,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__CHN,Argentina imports from China,ARG,ARG,Argentina,CHN,CHN,China,14477565628.23,14477.565628229999,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__GBR,Argentina imports from United Kingdom,ARG,ARG,Argentina,GBR,GBR,United Kingdom,602326767.880001,602.326767880001,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__IDN,Argentina imports from Indonesia,ARG,ARG,Argentina,IDN,IDN,Indonesia,334047577.71,334.04757771,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__IND,Argentina imports from India,ARG,ARG,Argentina,IND,IND,India,1432395363.81,1432.39536381,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__JPN,Argentina imports from Japan,ARG,ARG,Argentina,JPN,JPN,Japan,1222156868.29,1222.15686829,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__KOR,Argentina imports from South Korea,ARG,ARG,Argentina,KOR,KOR,South Korea,668356726.12,668.35672612,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__MEX,Argentina imports from Mexico,ARG,ARG,Argentina,MEX,MEX,Mexico,1561659415.81,1561.65941581,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__RUS,Argentina imports from Russia,ARG,ARG,Argentina,RUS,RUS,Russia,139817857.06,139.81785706,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__SAU,Argentina imports from Saudi Arabia,ARG,ARG,Argentina,SAU,SAU,Saudi Arabia,273655110.5,273.6551105,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__TUR,Argentina imports from Turkey,ARG,ARG,Argentina,TUR,TUR,Turkey,310552122.030001,310.552122030001,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__USA,Argentina imports from United States,ARG,ARG,Argentina,USA,USA,United States,8568561094.27999,8568.56109427999,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,ARG__ZAF,Argentina imports from South Africa,ARG,ARG,Argentina,ZAF,ZAF,South Africa,152891340.94,152.89134094,10.300,13.400,0,0.0,0.0,58.8,58.800,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,10.300,13.400,,,reporter_mfn_fallback,,,
2023,AUS__ARG,Australia imports from Argentina,AUS,AUS,Australia,ARG,ARG,Argentina,451618159.943097,451.618159943097,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__BRA,Australia imports from Brazil,AUS,AUS,Australia,BRA,BRA,Brazil,954193910.818205,954.193910818205,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__CAN,Australia imports from Canada,AUS,AUS,Australia,CAN,CAN,Canada,2631815493.50286,2631.81549350286,2.500,2.400,1,0.0,0.0,90.0,90.000,yes,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,substantially_all_goods,2018-12-30,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__CHN,Australia imports from China,AUS,AUS,Australia,CHN,CHN,China,69644282846.8102,69644.2828468102,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__GBR,Australia imports from United Kingdom,AUS,AUS,Australia,GBR,GBR,United Kingdom,5325903590.113,5325.903590113,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__IDN,Australia imports from Indonesia,AUS,AUS,Australia,IDN,IDN,Indonesia,3704284828.65823,3704.28482865823,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__IND,Australia imports from India,AUS,AUS,Australia,IND,IND,India,6235166399.69944,6235.16639969944,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
