year,pair_id,reporter_id,reporter_name,partner_id,partner_name,agreement_id,agreement_name,trade_value_usd_m,priority_trade_rank,suggested_batch_file
2023,USA__MEX,USA,United States,MEX,Mexico,USMCA,United States-Mexico-Canada Agreement,459958.103295,1,preference_USA_2023.csv
2023,USA__CAN,USA,United States,CAN,Canada,USMCA,United States-Mexico-Canada Agreement,398504.048546,2,preference_USA_2023.csv
2023,MEX__USA,MEX,Mexico,USA,United States,USMCA,United States-Mexico-Canada Agreement,249230.170654,3,preference_MEX_2023.csv
2023,CAN__USA,CAN,Canada,USA,United States,USMCA,United States-Mexico-Canada Agreement,238453.154003852,4,preference_CAN_2023.csv
2023,USA__KOR,USA,United States,KOR,South Korea,KORUS,Korea-United States Free Trade Agreement,113911.613789,5,preference_USA_2023.csv
2023,KOR__USA,KOR,South Korea,USA,United States,KORUS,Korea-United States Free Trade Agreement,71272.029801,6,preference_KOR_2023.csv
2023,AUS__USA,AUS,Australia,USA,United States,AUSFTA,Australia-United States Free Trade Agreement,30813.9718489026,7,preference_AUS_2023.csv
2023,USA__AUS,USA,United States,AUS,Australia,AUSFTA,Australia-United States Free Trade Agreement,14732.269015,8,preference_USA_2023.csv
2023,AUS__CAN,AUS,Australia,CAN,Canada,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,2631.81549350286,9,preference_AUS_2023.csv
2023,CAN__AUS,CAN,Canada,AUS,Australia,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,2375.3225316737,10,preference_CAN_2023.csv
