"request_url","request_priority","request_id","start_year","end_year","year_range","requested_year_count","requested_years_csv","indicator","product_group","reporter_count","reporter_ids","reporter_names","wto_reporter_codes","missing_canonical_file_count","expected_canonical_patterns"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C004&reporters[1]=C024&reporters[2]=C008&reporters[3]=C020&reporters[4]=C784","1","TTD_IMPORTS_1996_2026_01","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","AFG,AGO,ALB,AND,ARE","Afghanistan | Angola | Albania | Andorra | United Arab Emirates","004,024,008,020,784","155","imports_AFG_<YEAR>.csv | imports_AGO_<YEAR>.csv | imports_ALB_<YEAR>.csv | imports_AND_<YEAR>.csv | imports_ARE_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C032&reporters[1]=C051&reporters[2]=C028&reporters[3]=C036&reporters[4]=C031","2","TTD_IMPORTS_1996_2026_02","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","ARG,ARM,ATG,AUS,AZE","Argentina | Armenia | Antigua and Barbuda | Australia | Azerbaijan","032,051,028,036,031","96","imports_ARG_<YEAR>.csv | imports_ARM_<YEAR>.csv | imports_ATG_<YEAR>.csv | imports_AUS_<YEAR>.csv | imports_AZE_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C108&reporters[1]=C204&reporters[2]=C854&reporters[3]=C050&reporters[4]=C048","3","TTD_IMPORTS_1996_2026_03","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","BDI,BEN,BFA,BGD,BHR","Burundi | Benin | Burkina Faso | Bangladesh | Bahrain","108,204,854,050,048","155","imports_BDI_<YEAR>.csv | imports_BEN_<YEAR>.csv | imports_BFA_<YEAR>.csv | imports_BGD_<YEAR>.csv | imports_BHR_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C044&reporters[1]=C070&reporters[2]=C112&reporters[3]=C084&reporters[4]=C060","4","TTD_IMPORTS_1996_2026_04","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","BHS,BIH,BLR,BLZ,BMU","Bahamas | Bosnia and Herzegovina | Belarus | Belize | Bermuda","044,070,112,084,060","155","imports_BHS_<YEAR>.csv | imports_BIH_<YEAR>.csv | imports_BLR_<YEAR>.csv | imports_BLZ_<YEAR>.csv | imports_BMU_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C068&reporters[1]=C076&reporters[2]=C052&reporters[3]=C096&reporters[4]=C064","5","TTD_IMPORTS_1996_2026_05","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","BOL,BRA,BRB,BRN,BTN","Bolivia, Plurinational State of | Brazil | Barbados | Brunei Darussalam | Bhutan","068,076,052,096,064","125","imports_BOL_<YEAR>.csv | imports_BRA_<YEAR>.csv | imports_BRB_<YEAR>.csv | imports_BRN_<YEAR>.csv | imports_BTN_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C072&reporters[1]=C140&reporters[2]=C124&reporters[3]=C756&reporters[4]=C152","6","TTD_IMPORTS_1996_2026_06","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","BWA,CAF,CAN,CHE,CHL","Botswana | Central African Republic | Canada | Switzerland | Chile","072,140,124,756,152","126","imports_BWA_<YEAR>.csv | imports_CAF_<YEAR>.csv | imports_CAN_<YEAR>.csv | imports_CHE_<YEAR>.csv | imports_CHL_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C156&reporters[1]=C384&reporters[2]=C120&reporters[3]=C180&reporters[4]=C178","7","TTD_IMPORTS_1996_2026_07","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","CHN,CIV,CMR,COD,COG","China | Côte d'Ivoire | Cameroon | Congo, The Democratic Republic of the | Congo","156,384,120,180,178","128","imports_CHN_<YEAR>.csv | imports_CIV_<YEAR>.csv | imports_CMR_<YEAR>.csv | imports_COD_<YEAR>.csv | imports_COG_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C170&reporters[1]=C174&reporters[2]=C132&reporters[3]=C188&reporters[4]=C192","8","TTD_IMPORTS_1996_2026_08","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","COL,COM,CPV,CRI,CUB","Colombia | Comoros | Cabo Verde | Costa Rica | Cuba","170,174,132,188,192","155","imports_COL_<YEAR>.csv | imports_COM_<YEAR>.csv | imports_CPV_<YEAR>.csv | imports_CRI_<YEAR>.csv | imports_CUB_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C531&reporters[1]=C262&reporters[2]=C212&reporters[3]=C214&reporters[4]=C012","9","TTD_IMPORTS_1996_2026_09","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","CUW,DJI,DMA,DOM,DZA","Curaçao | Djibouti | Dominica | Dominican Republic | Algeria","531,262,212,214,012","155","imports_CUW_<YEAR>.csv | imports_DJI_<YEAR>.csv | imports_DMA_<YEAR>.csv | imports_DOM_<YEAR>.csv | imports_DZA_<YEAR>.csv"
"https://ttd.wto.org/en/download/indicators?product_group=total&indicator=imports&years[0]=2026&years[1]=2025&years[2]=2024&years[3]=2023&years[4]=2022&years[5]=2021&years[6]=2020&years[7]=2019&years[8]=2018&years[9]=2017&years[10]=2016&years[11]=2015&years[12]=2014&years[13]=2013&years[14]=2012&years[15]=2011&years[16]=2010&years[17]=2009&years[18]=2008&years[19]=2007&years[20]=2006&years[21]=2005&years[22]=2004&years[23]=2003&years[24]=2002&years[25]=2001&years[26]=2000&years[27]=1999&years[28]=1998&years[29]=1997&years[30]=1996&reporters[0]=C218&reporters[1]=C818&reporters[2]=C232&reporters[3]=C231&reporters[4]=C918","10","TTD_IMPORTS_1996_2026_10","1996","2026","1996-2026","31","2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996","Imports by partner ($US)","Total - all products","5","ECU,EGY,ERI,ETH,EU","Ecuador | Egypt | Eritrea | Ethiopia | European Union","218,818,232,231,918","155","imports_ECU_<YEAR>.csv | imports_EGY_<YEAR>.csv | imports_ERI_<YEAR>.csv | imports_ETH_<YEAR>.csv | imports_EU_<YEAR>.csv"
