actor_id,iso3,display_name,actor_type,current_active_flag,wto_reporter_code,canonical_name,review_status,ttd_reporter_supported,keep_active,review_notes
ABW,ABW,Aruba,country,yes,533,Aruba,reviewed,no,no,
AFG,AFG,Afghanistan,country,yes,004,Afghanistan,reviewed,yes,yes,
AGO,AGO,Angola,country,yes,024,Angola,reviewed,yes,yes,
AIA,AIA,Anguilla,country,yes,660,Anguilla,reviewed,no,no,
ALA,ALA,Åland Islands,country,yes,248,Åland Islands,reviewed,no,no,
ALB,ALB,Albania,country,yes,008,Albania,reviewed,yes,yes,
AND,AND,Andorra,country,yes,020,Andorra,reviewed,yes,yes,
ARE,ARE,United Arab Emirates,country,yes,784,United Arab Emirates,reviewed,yes,yes,
ARG,ARG,Argentina,country,yes,032,Argentina,reviewed,yes,yes,
ARM,ARM,Armenia,country,yes,051,Armenia,reviewed,yes,yes,
ASM,ASM,American Samoa,country,yes,016,American Samoa,reviewed,no,no,
ATA,ATA,Antarctica,country,yes,010,Antarctica,reviewed,no,no,
ATF,ATF,French Southern Territories,country,yes,260,French Southern Territories,reviewed,no,no,
ATG,ATG,Antigua and Barbuda,country,yes,028,Antigua and Barbuda,reviewed,yes,yes,
AUS,AUS,Australia,country,yes,036,Australia,reviewed,yes,yes,
AZE,AZE,Azerbaijan,country,yes,031,Azerbaijan,reviewed,yes,yes,
BDI,BDI,Burundi,country,yes,108,Burundi,reviewed,yes,yes,
BEN,BEN,Benin,country,yes,204,Benin,reviewed,yes,yes,
BES,BES,"Bonaire, Sint Eustatius and Saba",country,yes,535,"Bonaire, Sint Eustatius and Saba",reviewed,no,no,
BFA,BFA,Burkina Faso,country,yes,854,Burkina Faso,reviewed,yes,yes,
BGD,BGD,Bangladesh,country,yes,050,Bangladesh,reviewed,yes,yes,
BHR,BHR,Bahrain,country,yes,048,Bahrain,reviewed,yes,yes,
BHS,BHS,Bahamas,country,yes,044,Bahamas,reviewed,yes,yes,
BIH,BIH,Bosnia and Herzegovina,country,yes,070,Bosnia and Herzegovina,reviewed,yes,yes,
BLM,BLM,Saint Barthélemy,country,yes,652,Saint Barthélemy,reviewed,no,no,
BLR,BLR,Belarus,country,yes,112,Belarus,reviewed,yes,yes,
BLZ,BLZ,Belize,country,yes,084,Belize,reviewed,yes,yes,
BMU,BMU,Bermuda,country,yes,060,Bermuda,reviewed,yes,yes,
BOL,BOL,"Bolivia, Plurinational State of",country,yes,068,"Bolivia, Plurinational State of",reviewed,yes,yes,
BRA,BRA,Brazil,country,yes,076,Brazil,reviewed,yes,yes,
BRB,BRB,Barbados,country,yes,052,Barbados,reviewed,yes,yes,
BRN,BRN,Brunei Darussalam,country,yes,096,Brunei Darussalam,reviewed,yes,yes,
BTN,BTN,Bhutan,country,yes,064,Bhutan,reviewed,yes,yes,
BVT,BVT,Bouvet Island,country,yes,074,Bouvet Island,reviewed,no,no,
BWA,BWA,Botswana,country,yes,072,Botswana,reviewed,yes,yes,
CAF,CAF,Central African Republic,country,yes,140,Central African Republic,reviewed,yes,yes,
CAN,CAN,Canada,country,yes,124,Canada,reviewed,yes,yes,
CCK,CCK,Cocos (Keeling) Islands,country,yes,166,Cocos (Keeling) Islands,reviewed,no,no,
CHE,CHE,Switzerland,country,yes,756,Switzerland,reviewed,yes,yes,
CHL,CHL,Chile,country,yes,152,Chile,reviewed,yes,yes,
CHN,CHN,China,country,yes,156,China,reviewed,yes,yes,
CIV,CIV,Côte d'Ivoire,country,yes,384,Côte d'Ivoire,reviewed,yes,yes,
CMR,CMR,Cameroon,country,yes,120,Cameroon,reviewed,yes,yes,
COD,COD,"Congo, The Democratic Republic of the",country,yes,180,"Congo, The Democratic Republic of the",reviewed,yes,yes,
COG,COG,Congo,country,yes,178,Congo,reviewed,yes,yes,
COK,COK,Cook Islands,country,yes,184,Cook Islands,reviewed,no,no,
COL,COL,Colombia,country,yes,170,Colombia,reviewed,yes,yes,
COM,COM,Comoros,country,yes,174,Comoros,reviewed,yes,yes,
CPV,CPV,Cabo Verde,country,yes,132,Cabo Verde,reviewed,yes,yes,
CRI,CRI,Costa Rica,country,yes,188,Costa Rica,reviewed,yes,yes,
CUB,CUB,Cuba,country,yes,192,Cuba,reviewed,yes,yes,
CUW,CUW,Curaçao,country,yes,531,Curaçao,reviewed,yes,yes,
CXR,CXR,Christmas Island,country,yes,162,Christmas Island,reviewed,no,no,
CYM,CYM,Cayman Islands,country,yes,136,Cayman Islands,reviewed,no,no,
DJI,DJI,Djibouti,country,yes,262,Djibouti,reviewed,yes,yes,
DMA,DMA,Dominica,country,yes,212,Dominica,reviewed,yes,yes,
DOM,DOM,Dominican Republic,country,yes,214,Dominican Republic,reviewed,yes,yes,
DZA,DZA,Algeria,country,yes,012,Algeria,reviewed,yes,yes,
ECU,ECU,Ecuador,country,yes,218,Ecuador,reviewed,yes,yes,
EGY,EGY,Egypt,country,yes,818,Egypt,reviewed,yes,yes,
ERI,ERI,Eritrea,country,yes,232,Eritrea,reviewed,yes,yes,
ESH,ESH,Western Sahara,country,yes,732,Western Sahara,reviewed,no,no,
ETH,ETH,Ethiopia,country,yes,231,Ethiopia,reviewed,yes,yes,
EU,EUU,European Union,customs_union,yes,918,European Union,reviewed,yes,yes,
FJI,FJI,Fiji,country,yes,242,Fiji,reviewed,yes,yes,
FLK,FLK,Falkland Islands (Malvinas),country,yes,238,Falkland Islands (Malvinas),reviewed,no,no,
FRO,FRO,Faroe Islands,country,yes,234,Faroe Islands,reviewed,no,no,
FSM,FSM,"Micronesia, Federated States of",country,yes,583,"Micronesia, Federated States of",reviewed,yes,yes,
GAB,GAB,Gabon,country,yes,266,Gabon,reviewed,yes,yes,
GBR,GBR,United Kingdom,country,yes,826,United Kingdom,reviewed,yes,yes,
GEO,GEO,Georgia,country,yes,268,Georgia,reviewed,yes,yes,
GGY,GGY,Guernsey,country,yes,831,Guernsey,reviewed,no,no,
GHA,GHA,Ghana,country,yes,288,Ghana,reviewed,yes,yes,
GIB,GIB,Gibraltar,country,yes,292,Gibraltar,reviewed,no,no,
GIN,GIN,Guinea,country,yes,324,Guinea,reviewed,yes,yes,
GLP,GLP,Guadeloupe,country,yes,312,Guadeloupe,reviewed,no,no,
GMB,GMB,Gambia,country,yes,270,Gambia,reviewed,yes,yes,
GNB,GNB,Guinea-Bissau,country,yes,624,Guinea-Bissau,reviewed,yes,yes,
GNQ,GNQ,Equatorial Guinea,country,yes,226,Equatorial Guinea,reviewed,yes,yes,
GRD,GRD,Grenada,country,yes,308,Grenada,reviewed,yes,yes,
GRL,GRL,Greenland,country,yes,304,Greenland,reviewed,no,no,
GTM,GTM,Guatemala,country,yes,320,Guatemala,reviewed,yes,yes,
GUF,GUF,French Guiana,country,yes,254,French Guiana,reviewed,no,no,
GUM,GUM,Guam,country,yes,316,Guam,reviewed,no,no,
GUY,GUY,Guyana,country,yes,328,Guyana,reviewed,yes,yes,
HKG,HKG,Hong Kong,country,yes,344,Hong Kong,reviewed,yes,yes,
HMD,HMD,Heard Island and McDonald Islands,country,yes,334,Heard Island and McDonald Islands,reviewed,no,no,
HND,HND,Honduras,country,yes,340,Honduras,reviewed,yes,yes,
HTI,HTI,Haiti,country,yes,332,Haiti,reviewed,yes,yes,
IDN,IDN,Indonesia,country,yes,360,Indonesia,reviewed,yes,yes,
IMN,IMN,Isle of Man,country,yes,833,Isle of Man,reviewed,no,no,
IND,IND,India,country,yes,356,India,reviewed,yes,yes,
IOT,IOT,British Indian Ocean Territory,country,yes,086,British Indian Ocean Territory,reviewed,no,no,
IRN,IRN,"Iran, Islamic Republic of",country,yes,364,"Iran, Islamic Republic of",reviewed,yes,yes,
IRQ,IRQ,Iraq,country,yes,368,Iraq,reviewed,yes,yes,
ISL,ISL,Iceland,country,yes,352,Iceland,reviewed,yes,yes,
ISR,ISR,Israel,country,yes,376,Israel,reviewed,yes,yes,
JAM,JAM,Jamaica,country,yes,388,Jamaica,reviewed,yes,yes,
JEY,JEY,Jersey,country,yes,832,Jersey,reviewed,no,no,
JOR,JOR,Jordan,country,yes,400,Jordan,reviewed,yes,yes,
JPN,JPN,Japan,country,yes,392,Japan,reviewed,yes,yes,
KAZ,KAZ,Kazakhstan,country,yes,398,Kazakhstan,reviewed,yes,yes,
KEN,KEN,Kenya,country,yes,404,Kenya,reviewed,yes,yes,
KGZ,KGZ,Kyrgyzstan,country,yes,417,Kyrgyzstan,reviewed,yes,yes,
KHM,KHM,Cambodia,country,yes,116,Cambodia,reviewed,yes,yes,
KIR,KIR,Kiribati,country,yes,296,Kiribati,reviewed,no,no,","
KNA,KNA,Saint Kitts and Nevis,country,yes,659,Saint Kitts and Nevis,reviewed,yes,yes,
KOR,KOR,South Korea,country,yes,410,South Korea,reviewed,yes,yes,
KWT,KWT,Kuwait,country,yes,414,Kuwait,reviewed,yes,yes,
LAO,LAO,Lao People's Democratic Republic,country,yes,418,Lao People's Democratic Republic,reviewed,yes,yes,
LBN,LBN,Lebanon,country,yes,422,Lebanon,reviewed,yes,yes,
LBR,LBR,Liberia,country,yes,430,Liberia,reviewed,yes,yes,
LBY,LBY,Libya,country,yes,434,Libya,reviewed,yes,yes,
LCA,LCA,Saint Lucia,country,yes,662,Saint Lucia,reviewed,yes,yes,
LIE,LIE,Liechtenstein,country,yes,438,Liechtenstein,reviewed,yes,yes,
LKA,LKA,Sri Lanka,country,yes,144,Sri Lanka,reviewed,yes,yes,
LSO,LSO,Lesotho,country,yes,426,Lesotho,reviewed,yes,yes,
MAC,MAC,Macao,country,yes,446,Macao,reviewed,yes,yes,
MAF,MAF,Saint Martin (French part),country,yes,663,Saint Martin (French part),reviewed,no,no,
MAR,MAR,Morocco,country,yes,504,Morocco,reviewed,yes,yes,
MCO,MCO,Monaco,country,yes,492,Monaco,reviewed,no,no,
MDA,MDA,"Moldova, Republic of",country,yes,498,"Moldova, Republic of",reviewed,yes,yes,
