year,reporter_id,partner_id,dataset,indicator_code,indicator_label,time_period,obs_value,series_count,pull_status,http_status,error_message,source_url,product_code,partner_code_raw,reporter_code_raw
2023,USA,CAN,tradestats-trade,MPRT-TRD-VL,Import Trade Value (US$ Thousand),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2023/partner/can/indicator/MPRT-TRD-VL,,,
2023,USA,CAN,tradestats-tariff,AHS-WGHTD-AVRG,Effectively Applied Weighted Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/can/indicator/AHS-WGHTD-AVRG,,,
2023,USA,CAN,tradestats-tariff,AHS-SMPL-AVRG,Effectively Applied Simple Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/can/indicator/AHS-SMPL-AVRG,,,
2023,USA,CAN,tradestats-tariff,TRF-NMBR-AGGRMNT,Number of Tariff Agreements,2023,2,1,success,200,,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/can/indicator/TRF-NMBR-AGGRMNT,999999,CAN,USA
2023,USA,MEX,tradestats-trade,MPRT-TRD-VL,Import Trade Value (US$ Thousand),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2023/partner/mex/indicator/MPRT-TRD-VL,,,
2023,USA,MEX,tradestats-tariff,AHS-WGHTD-AVRG,Effectively Applied Weighted Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/mex/indicator/AHS-WGHTD-AVRG,,,
2023,USA,MEX,tradestats-tariff,AHS-SMPL-AVRG,Effectively Applied Simple Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/mex/indicator/AHS-SMPL-AVRG,,,
2023,USA,MEX,tradestats-tariff,TRF-NMBR-AGGRMNT,Number of Tariff Agreements,2023,1,1,success,200,,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/mex/indicator/TRF-NMBR-AGGRMNT,999999,MEX,USA
2023,USA,CHN,tradestats-trade,MPRT-TRD-VL,Import Trade Value (US$ Thousand),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2023/partner/chn/indicator/MPRT-TRD-VL,,,
2023,USA,CHN,tradestats-tariff,AHS-WGHTD-AVRG,Effectively Applied Weighted Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/usa/year/2023/partner/chn/indicator/AHS-WGHTD-AVRG,,,
