year,reporter_id,reporter_name,partner_id,partner_name,wits_import_trade_value_usd_thousands,wits_import_trade_value_usd,wits_bilateral_weighted_tariff_pct,wits_bilateral_simple_tariff_pct,wits_tariff_agreement_count,wits_rta_in_force
2023,AGO,Angola,AFG,Afghanistan,28.619993,28619.993000000002,25.6719001992768,13.6666666666667,,
2023,AGO,Angola,ALB,Albania,496.51364,496513.64,31.5256547070892,14.9090909090909,,
2023,AGO,Angola,AND,Andorra,63.436022,63436.022000000004,10.8196393546431,15.022222216924,,
2023,AGO,Angola,ARE,United Arab Emirates,1087652.988892,1087652988.892,9.93234923356221,11.9349082493916,,
2023,AGO,Angola,ARG,Argentina,121206.428173,121206428.173,2.33585980169683,13.6130952338378,,
2023,AGO,Angola,ARM,Armenia,0.073634,73.634,10.0,10.0,,
2023,AGO,Angola,ATG,Antigua and Barbuda,453.3093,453309.3,15.9396105000722,13.1428571428571,,
2023,AGO,Angola,AUS,Australia,15858.552966,15858552.966,7.74543550827672,10.4899817796353,,
2023,AGO,Angola,AZE,Azerbaijan,348.874634,348874.634,4.44320295762937,10.0625,,
2023,AGO,Angola,BDI,Burundi,17.057938,17057.938,2.0,2.0,,
2023,AGO,Angola,BEN,Benin,173.486388,173486.388,1.5343033594739,11.8275862068966,,
2023,AGO,Angola,BFA,Burkina Faso,3.818478,3818.4779999999996,6.21201803755791,12.2857142857143,,
2023,AGO,Angola,BGD,Bangladesh,1417.747661,1417747.661,9.60502976007725,15.6794871794872,,
2023,AGO,Angola,BHR,Bahrain,558.90074,558900.74,38.375086299537,20.1818181818182,,
2023,AGO,Angola,BIH,Bosnia and Herzegovina,200.414241,200414.241,11.6258412600819,11.1333333333333,,
2023,AGO,Angola,BLR,Belarus,309.008039,309008.039,0.170587052060731,1.2,,
2023,AGO,Angola,BLZ,Belize,11.628827,11628.827,2.33106162221363,4.71428571428571,,
2023,AGO,Angola,BMU,Bermuda,4485.562994,4485562.994,0.98840649973283,6.57894736842105,,
2023,AGO,Angola,BOL,"Bolivia, Plurinational State of",993.386701,993386.701,3.71829705436059,10.4224137931034,,
2023,AGO,Angola,BRA,Brazil,577916.189656,577916189.656,12.3126106358237,11.8197543670553,,
2023,AGO,Angola,BRN,Brunei Darussalam,1.943905,1943.905,15.1177740791922,11.6666666269302,,
2023,AGO,Angola,BTN,Bhutan,0.174745,174.745,10.0,10.0,,
2023,AGO,Angola,BWA,Botswana,1342.288022,1342288.0219999999,10.6945919388086,8.50248756159597,,
2023,AGO,Angola,CAF,Central African Republic,1.767611,1767.611,32.9851930090953,40.0,,
2023,AGO,Angola,CAN,Canada,54214.493611,54214493.611,6.96426830151584,13.3007127191675,,
2023,AGO,Angola,CHE,Switzerland,19053.910293,19053910.293,7.66176650486947,11.9699074046479,,
2023,AGO,Angola,CHL,Chile,1131.568666,1131568.666,14.0450043762125,19.2857142857143,,
2023,AGO,Angola,CHN,China,2438062.896605,2438062896.605,8.53672850183552,10.5018492830754,,
2023,AGO,Angola,CIV,Côte d'Ivoire,38277.134856,38277134.856,4.69938514381872,12.6158008614144,,
2023,AGO,Angola,CMR,Cameroon,1235.825676,1235825.676,5.0181241573804,14.0178117042279,,
2023,AGO,Angola,COG,Congo,7996.170749,7996170.749,22.4919657627541,14.8008486516405,,
2023,AGO,Angola,COL,Colombia,2944.319371,2944319.3710000003,20.2924387794071,14.5099502481631,,
2023,AGO,Angola,COM,Comoros,0.880833,880.833,35.0,35.0,,
2023,AGO,Angola,CPV,Cabo Verde,225.800608,225800.608,1.27100251772131,16.875,,
2023,AGO,Angola,CRI,Costa Rica,106.101091,106101.091,7.13430352904505,20.7179487118354,,
2023,AGO,Angola,CUB,Cuba,391.188202,391188.202,16.2708528193265,23.6851851675246,,
2023,AGO,Angola,DMA,Dominica,104.155041,104155.041,1.19311138286624,3.08333333333333,,
2023,AGO,Angola,DOM,Dominican Republic,137.196624,137196.624,37.4399011264293,20.3636363636364,,
2023,AGO,Angola,DZA,Algeria,20109.308318,20109308.318,44.2281682043197,21.5,,
